Points_0,Points_1,Points_2,Points_Magnitude,R_0,R_1,R_2,R_3,R_4,R_5,R_Magnitude,UMean_0,UMean_1,UMean_2,UMean_Magnitude,UPrime2Mean_0,UPrime2Mean_1,UPrime2Mean_2,UPrime2Mean_3,UPrime2Mean_4,UPrime2Mean_5,UPrime2Mean_Magnitude,U_0,U_1,U_2,U_Magnitude,alpha.water,arc_length,devReff_0,devReff_1,devReff_2,devReff_3,devReff_4,devReff_5,devReff_Magnitude,epsilon,k,nuEff,nut,p,p_rgh,Point ID,vtkValidPointMask,yPlus
0.2,0.052,0.0005,0.20665,0.0303095,0.0303097,0.0303096,-0.0272192,0,0,0.0591346,0.55422,-2.30791e-07,0,0.55422,0.00380821,6.21875e-13,0,3.12431e-10,0,0,0.00380821,0.598216,-1.26441e-07,0,0.598216,0.00193656,0.052,-8.64261e-08,8.79773e-08,-1.55116e-09,-0.0308578,0,0,0.0308578,0.131849,0.0454644,0.00159975,0.00141107,-5.10964,-4.59076,520,1,0
0.2,0.0521,0.0005,0.206675,0.0303763,0.0303764,0.0303763,-0.0275413,0,0,0.059386,0.55628,-2.32234e-07,0,0.55628,0.0038085,6.26384e-13,0,3.47239e-10,0,0,0.0038085,0.600274,-1.29374e-07,0,0.600274,0.00155272,0.0521,-8.49584e-08,8.64818e-08,-1.52342e-09,-0.0312208,0,0,0.0312208,0.132348,0.0455645,0.00160062,0.00141194,-5.11064,-4.59251,521,1,0
0.2,0.0522,0.0005,0.2067,0.030443,0.0304432,0.0304431,-0.0278634,0,0,0.0596382,0.55834,-2.33677e-07,0,0.55834,0.00380879,6.30894e-13,0,3.82049e-10,0,0,0.00380879,0.602333,-1.32307e-07,0,0.602333,0.00116886,0.0522,-8.34907e-08,8.49864e-08,-1.49567e-09,-0.0315838,0,0,0.0315838,0.132847,0.0456646,0.0016015,0.00141282,-5.11163,-4.59426,522,1,0
0.2,0.0523,0.0005,0.206726,0.0305098,0.0305099,0.0305098,-0.0281855,0,0,0.0598913,0.5604,-2.3512e-07,0,0.5604,0.00380908,6.35403e-13,0,4.16859e-10,0,0,0.00380908,0.604391,-1.3524e-07,0,0.604391,0.000785004,0.0523,-8.20229e-08,8.34909e-08,-1.46793e-09,-0.0319468,0,0,0.0319468,0.133346,0.0457647,0.00160237,0.00141369,-5.11263,-4.59601,523,1,0
0.2,0.0524,0.0005,0.206751,0.0305765,0.0305767,0.0305766,-0.0285076,0,0,0.0601453,0.56246,-2.36563e-07,0,0.56246,0.00380936,6.39913e-13,0,4.51667e-10,0,0,0.00380936,0.60645,-1.38173e-07,0,0.60645,0.000401161,0.0524,-8.05552e-08,8.19954e-08,-1.44018e-09,-0.0323097,0,0,0.0323097,0.133845,0.0458649,0.00160325,0.00141457,-5.11362,-4.59776,524,1,0
0.2,0.0525,0.0005,0.206776,0.0306433,0.0306434,0.0306433,-0.0288296,0,0,0.0604002,0.56452,-2.38006e-07,0,0.56452,0.00380965,6.44423e-13,0,4.86476e-10,0,0,0.00380965,0.608508,-1.41106e-07,0,0.608508,1.73174e-05,0.0525,-7.90874e-08,8.04999e-08,-1.41244e-09,-0.0326727,0,0,0.0326727,0.134344,0.045965,0.00160412,0.00141544,-5.11462,-4.59951,525,1,0
0.2,0.0526,0.0005,0.206802,0.0306941,0.0306942,0.0306941,-0.0287463,0,0,0.0604379,0.566528,-2.392e-07,0,0.566528,0.00381072,6.48522e-13,0,5.04194e-10,0,0,0.00381072,0.610523,-1.43281e-07,0,0.610523,1.52397e-05,0.0526,-7.71878e-08,7.85337e-08,-1.34581e-09,-0.0325765,0,0,0.0325765,0.134729,0.0460412,0.00160477,0.00141609,-5.1156,-4.59952,526,1,0
0.2,0.0527,0.0005,0.206827,0.0307449,0.030745,0.030745,-0.0286629,0,0,0.0604758,0.568537,-2.40395e-07,0,0.568537,0.00381178,6.52622e-13,0,5.21912e-10,0,0,0.00381178,0.612538,-1.45456e-07,0,0.612538,1.3162e-05,0.0527,-7.52882e-08,7.65674e-08,-1.27917e-09,-0.0324803,0,0,0.0324803,0.135115,0.0461174,0.00160542,0.00141674,-5.11658,-4.59953,527,1,0
0.2,0.0528,0.0005,0.206853,0.0307957,0.0307958,0.0307958,-0.0285795,0,0,0.0605139,0.570545,-2.41589e-07,0,0.570545,0.00381284,6.56722e-13,0,5.39629e-10,0,0,0.00381284,0.614554,-1.47631e-07,0,0.614554,1.10843e-05,0.0528,-7.33886e-08,7.46012e-08,-1.21254e-09,-0.0323841,0,0,0.0323841,0.1355,0.0461936,0.00160607,0.00141739,-5.11756,-4.59954,528,1,0
0.2,0.0529,0.0005,0.206878,0.0308465,0.0308467,0.0308466,-0.0284962,0,0,0.0605522,0.572554,-2.42784e-07,0,0.572554,0.00381391,6.60821e-13,0,5.57348e-10,0,0,0.00381391,0.616569,-1.49805e-07,0,0.616569,9.00648e-06,0.0529,-7.14889e-08,7.26349e-08,-1.14591e-09,-0.032288,0,0,0.032288,0.135885,0.0462699,0.00160672,0.00141804,-5.11854,-4.59955,529,1,0
